Животные
id,тип
1,Собаки
2,Кошки
3,Хомяки
4,Лошади
5,Верблюды
6,Ослы

Домашние_животные
id,вид
1,Собаки
2,Кошки
3,Хомяки

Вьючные_животные
id,вид
4,Лошади
5,Верблюды
6,Ослы

Собаки
id,имя,команда,дата_рождения
1,Рекс,Сидеть,2018-05-10
2,Бэйли,Лежать,2019-02-15
3,Луна,Голос,2020-07-20

Кошки
id,имя,команда,дата_рождения
1,Мурка,Кэс-кэс,2017-09-01
2,Барсик,"А ну брысь",2018-11-12
3,Снежок,"Спать",2019-04-05

Хомяки
id,имя,команда,дата_рождения
1,Дейл,Ешь,2021-01-20
2,Чип,Пей,2022-03-08

Лошади
id,имя,команда,дата_рождения
1,Рыжий,Но,2020-01-21
2,Чёрный,Стой,2020-03-08

Верблюды
id,имя,команда,дата_рождения
1,Валера,Пошёл,2019-01-21
2,Степан,Стой,2019-03-08

Ослы
id,имя,команда,дата_рождения
1,ЗигЗаг,"Пошёл",2018-01-21
2,"Пуш",Стой,"2018-03-08"
